x,y,z,t,u_scaled,v_scaled,w_scaled,p_scaled,d,dx,dy
-0.0024113601,0.0043750113,0.0015480294,0.01,-3.39778e-05,-2.63107e-05,0.0,-3.180735,7.435004789613231e-08,-2.2700000101849582e-08,-7.079999875259091e-08
-0.0023168295,0.0044264989,0.0011891481,0.01,-1.94482e-05,-2.97587e-05,0.0,2.189433,5.718478846006292e-08,-5.700000027530905e-09,-5.689999937885659e-08
-0.0040392431,-0.0029425768,0.0010610446,0.01,-9.01604e-05,-0.0002534741,0.0,1.880051,1.2091294365745853e-07,-8.130000139772164e-08,8.949999852347901e-08
-0.0043801775,-0.0024013778,0.0015494056,0.01,-4.77377e-05,-0.0003264262,0.0,1.332647,2.0881689977159112e-07,-1.3429999512482027e-07,1.5989999724297377e-07
-0.0044263354,-0.0023173786,0.0011928131,0.01,-3.48592e-05,-0.0002293343,0.0,7.457389,1.592172367281819e-07,-1.097999984267517e-07,1.152999971054669e-07
0.0004852674,-0.004977867,0.0496053582,0.01,0.0002824952,-0.0021638425,0.0,126.8459,2.2064186850911938e-06,2.5869999831229507e-07,-2.1912001102464274e-06
0.00048429,0.0049757021,0.0003887455,0.01,1.70345e-05,-3.22735e-05,0.0,-2.677141,2.5713031703844536e-08,2.5400000325248584e-08,3.999999886872274e-09
0.0028544886,-0.004101583,0.0016192457,0.01,-0.0002756655,0.0001571884,0.0,1.174361,2.113039982987175e-07,1.2999999965401798e-09,2.1130000504854252e-07
0.0024634038,-0.0043483521,0.0020376674,0.01,-0.0004062172,0.0001799896,0.0,1.087322,2.9038861271146743e-07,-2.2700000101849582e-08,2.8950000796612585e-07
0.0023757264,-0.0043973762,0.0016495307,0.01,-0.0003142708,0.0001299289,0.0,-2.957769,2.146560262872299e-07,-1.799999971296984e-08,2.1389999460552644e-07
0.0041046577,0.0028506968,0.0016191613,0.01,0.0004119131,0.0002418609,0.0,4.494513,4.238727342453785e-07,2.767000069070491e-07,3.211000034752942e-07
0.0043480266,0.002465752,0.0020375613,0.01,0.0004869497,0.0003269787,0.0,1.82082,5.424240043794271e-07,3.53399997266024e-07,4.1149999674416904e-07
0.0043982514,0.0023752773,0.0016496728,0.01,0.0003856888,0.0002535945,0.0,2.98893,4.228872683142981e-07,2.7260000479145674e-07,3.2329998589375464e-07
0.0028638634,0.0041106414,0.0483799178,0.01,0.0053533967,0.0076735878,0.0,242.2259,1.2502165191108361e-05,7.102300060068956e-06,1.028889982990222e-05
